state_range,reward
23950-500,-10.0
24000-500,-10.0
24050-500,-10.0
24100-500,-10.0
24150-500,-10.0
24200-500,-10.0
24250-500,-10.0
24300-500,-10.0
24350-500,-10.0
24400-500,-10.0
24450-500,-10.0
24500-500,-10.0
24550-500,-10.0
24600-500,-10.0
24650-500,-10.0
24700-500,-10.0
24750-500,-10.0
24800-500,-10.0
24850-500,-10.0
24900-500,-10.0
24950-500,-10.0
25000-500,-10.0
25050-500,-10.0
25100-500,-10.0
25150-500,-10.0
25200-500,-10.0
25250-500,-10.0
25300-500,-10.0
25350-500,-10.0
25400-500,-10.0
25450-500,-10.0
25500-500,-10.0
25550-500,-10.0
25600-500,-10.0
25650-500,-10.0
25700-500,-10.0
25750-500,-10.0
25800-500,-10.0
25850-500,-10.0
25900-500,-10.0
25950-500,-10.0
26000-500,-10.0
26050-500,-10.0
26100-500,-10.0
26150-500,-10.0
26200-500,-10.0
26250-500,-10.0
26300-500,-10.0
26350-500,-10.0
26400-500,-10.0
26450-500,-10.0
26500-500,-10.0
26550-500,-10.0
26600-500,-10.0
26650-500,-10.0
26700-500,-10.0
26750-500,-10.0
26800-500,-10.0
26850-500,-10.0
26900-500,-10.0
26950-500,-10.0
27000-500,-10.0
27050-500,-10.0
27100-500,-10.0
27150-500,-10.0
27200-500,-10.0
27250-500,-10.0
27300-500,-10.0
27350-500,-10.0
27400-500,-10.0
27450-500,-10.0
27500-500,-10.0
27550-500,-10.0
27600-500,-10.0
27650-500,-10.0
27700-500,-10.0
27750-500,-10.0
27800-500,-10.0
27850-500,-10.0
27900-500,-10.0
27950-500,-10.0
28000-500,-10.0
28050-500,-10.0
28100-500,-10.0
28150-500,-10.0
28200-500,-10.0
28250-500,-10.0
28300-500,-10.0
28350-500,-10.0
28400-500,-10.0
28450-500,-10.0
28500-500,-10.0
28550-500,-10.0
28600-500,-10.0
28650-500,-10.0
28700-500,-10.0
28750-500,-10.0
28800-500,-10.0
28850-500,-10.0
28900-500,-10.0
28950-500,-10.0
29000-500,-10.0
29050-500,-10.0
29100-500,-10.0
29150-500,-10.0
29200-500,-10.0
29250-500,-10.0
29300-500,-10.0
29350-500,-10.0
29400-500,-10.0
29450-500,-10.0
29500-500,-10.0
29550-500,-10.0
29600-500,-10.0
29650-500,-10.0
29700-500,-10.0
29750-500,-10.0
29800-500,-10.0
29850-500,-10.0
29900-500,-10.0
29950-500,-10.0
30000-500,-10.0
30050-500,-10.0
30100-500,-10.0
30150-500,-10.0
30200-500,-10.0
30250-500,-10.0
30300-500,-10.0
30350-500,-10.0
30400-500,-10.0
30450-500,-10.0
30500-500,-10.0
30550-500,-10.0
30600-500,-10.0
30650-500,-10.0
30700-500,-10.0
30750-500,-10.0
30800-500,-10.0
30850-500,-10.0
30900-500,-10.0
30950-500,-10.0
31000-500,-10.0
31050-500,-10.0
31100-500,-10.0
31150-500,-10.0
31200-500,-10.0
31250-500,-10.0
31300-500,-10.0
31350-500,-10.0
31400-500,-10.0
31450-500,-10.0
31500-500,-10.0
31550-500,-10.0
31600-500,-10.0
31650-500,-10.0
31700-500,-10.0
31750-500,-10.0
31800-500,-10.0
31850-500,-10.0
31900-500,-10.0
31950-500,-10.0
32000-500,-10.0
32050-500,-10.0
32100-500,-10.0
